iso_a3,continent,region_id,country,income_id,gdp,population,total_waste,composition,percent
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,plastic,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,rubber_leather,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,wood,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,yard_garden_green_waste,NA
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,food_organic_waste,56
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,glass,4
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,metal,2
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,other,15
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,paper_cardboard,10
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,plastic,13
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,rubber_leather,NA
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,wood,NA
EGY,Africa,Middle_East_North_Africa,"Egypt, Arab Rep.",LMC,10301.107421875,87813256,21000000,yard_garden_green_waste,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,food_organic_waste,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,glass,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,metal,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,other,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,paper_cardboard,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,plastic,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,rubber_leather,NA
GNQ,Africa,Sub-Saharan_Africa,Equatorial Guinea,UMC,24827.072265625,1221490,198443.06,wood,NA
